material;id_tienda;stock_restaurado
000000000000901934;3085;598
000000000000358031;3212;30
000000000000174330;3086;138
000000000000156144;3193;41
000000000000653876;3206;22
000000000000181373;3098;16
000000000000616209;3223;14
000000000000667600;3223;152
000000000000553519;3211;62
000000000000141404;3092;20
000000000000616202;3225;15
000000000000006535;3187;121
000000000000168302;3074;25
000000000400433001;3193;127
000000000000710446;3092;655
000000000000124981;3223;652
000000000000646386;3074;238
000000000000181877;3094;106
000000000000639695;3088;138
000000000000878691;3098;145
000000000000635931;3092;200
000000000000648979;3092;126
000000000000337024;3223;44
000000000000052674;3225;82
000000000000571228;3088;2912
000000000000622173;3187;37
000000000000023776;3091;39
000000000000190995;3180;173
000000000000612233;3092;635
000000000000612035;3091;41
000000000000665273;3089;16
000000000000024197;3089;45
000000000000665848;3206;84
000000000000654237;3085;35
000000000000667850;3193;4
000000000000007515;3094;204
000000000636515002;3074;71
000000000000007413;3225;39
000000000000776038;3091;110
000000000000213721;3172;142
000000000000629401;3211;61
000000000000005965;3193;11
000000000000009451;3093;22
000000000000665265;3093;8
000000000000215161;3172;215
000000000000544701;3086;20
000000000400308003;3086;161
000000000402160009;3180;117
000000000000355620;3094;431
000000000000640476;3187;47
000000000000639041;3187;90
000000000000170847;3093;225
000000000402163013;3180;45
000000000000174330;3088;127
000000000000118792;3225;71
000000000000355622;3092;156
000000000000008644;3098;39
000000000000321018;3085;52
000000000000665184;3091;34
000000000619006002;3091;28
000000000000178379;3193;14
000000000000053891;3223;479
000000000000178018;3086;73
000000000000585347;3225;45
000000000000139940;3206;22
000000000400433002;3086;297
000000000000731601;3091;391
000000000000571228;3172;1134
000000000000170080;3206;174
000000000000667692;3172;80
000000000000629762;3093;2531
000000000000010526;3172;175
000000000000505749;3172;335
000000000000607914;3093;222
000000000000146214;3074;33
000000000000157195;3089;10
000000000650386002;3089;18
000000000000615835;3223;54
000000000000179987;3088;37
000000000000661944;3193;70
000000000000640143;3088;46
000000000000355620;3187;90
000000000000631323;3088;20
000000000000781199;3212;37
000000000000652001;3091;67
000000000400055001;3187;258
000000000000008558;3091;20
000000000000219335;3180;63
000000000000880880;3193;63
000000000000634412;3172;52
000000000000133342;3098;15
000000000000007087;3093;334
000000000000900817;3094;1795
000000000402163005;3092;53
000000000000605405;3211;73
000000000000519804;3092;309
000000000000006674;3091;14
000000000000062471;3187;217
000000000000562679;3172;66
000000000622009002;3085;138
000000000000653734;3187;26
000000000000188150;3206;67
000000000000607261;3098;37
000000000000180016;3225;13
000000000000818130;3093;109
000000000000780173;3206;233
000000000000358336;3091;1836
000000000000868530;3092;25
000000000000210257;3086;67
000000000000024562;3093;73
000000000000018112;3223;21
000000000661946002;3085;80
000000000000006457;3085;753
000000000000052612;3225;214
000000000000631121;3206;70
000000000000007518;3091;5134
000000000000211077;3172;48
000000000000629712;3172;157
000000000000567413;3092;44
000000000000618836;3223;105
000000000000158523;3094;10
000000000000575145;3093;24
000000000000627770;3086;29
000000000000647125;3212;84
000000000619006002;3085;19
000000000000054189;3092;143
000000000000639040;3206;78
000000000000147716;3212;67
000000000401864001;3223;25
000000000648444001;3187;6713
000000000000216012;3206;92
000000000000652973;3086;33
000000000000010012;3172;271
000000000000914447;3225;20
000000000000006438;3091;30
000000000000008644;3206;34
000000000000666016;3093;34
000000000000526074;3187;106
000000000000275754;3094;471
000000000000135092;3089;394
000000000000154634;3091;131
000000000628439002;3098;118
000000000402629003;3211;702
000000000622009001;3212;60
000000000624310001;3088;13
000000000000667696;3091;47
000000000000007087;3098;160
000000000400069001;3206;584
000000000400055001;3086;198
000000000000640961;3211;14
